No,ID,Name,Birth,Sex,Idsocial
1,19110001,Nguyen Thi Thu Trang,10/11/2000,Nam,4863031
2,19110002,Le Tran Thanh Truc,3/7/2000,Nam,1132433
3,19110003,Bui Trinh Trung,24/9/2000,Nu,6435089
4,19110004,Tran Anh Tuan,25/2/2000,Nam,2176236
5,19110005,Ho Ngoc Tuyen,22/7/2000,Nam,5046765
6,19110006,Nguyen Phuong Uyen,29/11/2000,Nu,3882790
7,19110007,Nguyen Vo Thao Vy,14/6/2000,Nam,3898013
8,19110008,Phan Tran Nhat Vy,10/4/2000,Nam,1030755
9,19110009,Nguyen Ngoc Xuyen,24/2/2000,Nu,3505346
10,19110010,Luu Huu Phuoc,19/5/2000,Nam,1982911
11,19110011,Le Quoc An,17/2/2000,Nam,5512644
12,19110012,Nguyen Tran Thien An,11/3/2000,Nu,8611497
13,19110013,Tran Vu Hong An,21/11/2000,Nam,2698915
14,19110014,Bui Thi Ngoc Anh,11/10/2000,Nam,6559168
15,19110015,Huynh Ngoc Que Anh,1/3/2000,Nu,3402810
16,19110016,Nguyen Phuc Tai Anh,26/3/2000,Nam,3101584
17,19110017,Nguyen Quynh Anh,10/4/2000,Nam,1493118
18,19110018,Pham Thi Duy Anh,2/1/2000,Nu,6894182
19,19110019,Pham Thi Phuong Anh,20/12/2000,Nam,2887511
20,19110020,Pham Thi Trang Anh,6/5/2000,Nam,5206453
21,19110021,Tran Do Van Anh,12/5/2000,Nu,1441073
22,19110022,Tran Thi Van Anh,3/11/2000,Nam,2442154
23,19110023,Vo Tung Anh,15/1/2000,Nam,4155746
24,19110024,Vu Thi Tu Anh,15/7/2000,Nu,9218462
25,19110025,Do Thi Ngoc Anh,7/9/2000,Nam,3491923
26,19110026,Nguyen Thai Bao,29/12/2000,Nam,2652417
27,19110027,Tran Duc Hoang Bao,9/8/2000,Nu,3313348
28,19110028,Le Thi Thanh Binh,22/2/2000,Nam,3793637
29,19110029,Nguyen Ngoc Thanh Binh,5/3/2000,Nam,9740891
30,19110030,Pham Nhu Binh,24/4/2000,Nu,7697471
