No,ID,Name,Birth,Sex,Idsocial
1,17171717,Le Hoai Anh,03/11/1999,Nam,1161796
2,17171718,Le Quynh Anh,21/11/1999,Nu,8516076
3,17171719,Hoang Chi Vo,14/11/1999,Nam,2234374
4,17171720,Nguyen Gia Bao,25/12/1999,Nu,9132591
5,17171721,Nguyen Kim ,11/11/1999,Nam,3995001
6,17171722,Nguyen Anh Bao,16/12/1999,Nu,3894545
7,17171723,Tran Hoang Anh Khoa,25/11/1999,Nam,3403926
8,17171724,Tran Hoang Khoi,09/11/1999,Nu,5917082
9,17171725,Du Quang Luc,10/12/1999,Nam,8820653
10,17171726,Nguyen Hung Luc,03/11/1999,Nu,7279209
11,17171727,Nguyen Huu Minh,28/11/1999,Nam,6331292
12,17171728,Nguyen Truong Thang,09/12/1999,Nu,1194103
13,17171729,Dieu Ngoc,15/12/1999,Nam,4752717
14,17171730,Truong Tieu Thanh,06/12/1999,Nu,1119635
15,17171731,Duong Ngoc Phong,23/12/1999,Nam,3770622
16,17171732,To Tran Thien Phuc,01/11/1999,Nu,2289557
17,17171733,Nguy Anh Quan,22/12/1999,Nam,7937147
18,17171734,Vo Thanh Thien,29/11/1999,Nu,8911482
19,17171735,Nguyen Huynh Tram,13/12/1999,Nam,7317493
20,17171736,Le Hoang Thien Y,10/11/1999,Nu,2211834
21,17171737,Ly Tinh,08/11/1999,Nam,7223851
22,17171738,Le Loc,01/12/1999,Nu,8958140
23,17171739,Gigolo,08/12/1999,Nam,9988260
24,17171740,Tyrant,02/12/1999,Nu,1083759
25,17171741,Racist,08/11/1999,Nam,2531719
26,17171742,Brotherhood,03/12/1999,Nu,7735558
27,17171743,Robinhood,20/12/1999,Nam,9842303
28,17171744,Captain Kirt,05/12/1999,Nu,9342434
29,17171745,Di Van,27/12/1999,Nam,1683607
30,17171746,Do Day,14/12/1999,Nu,3919517
