No,ID,Name,Birth,Sex,IDSocial
1,20120061,Nguyen Hoang Gia Linh,15/01/2002,Nam,7239651
2,20120062,Nguyen Thi Truc Linh,17/07/2002,Nam,4339550
3,20120063,Tran Quang Linh,08/09/2002,Nu,5598758
4,20120064,Nguyen Huu Loc,25/10/2002,Nam,2587232
5,20120065,Nguyen Cam Ly,02/06/2002,Nam,5454686
6,20120066,Nguyen Quang Minh,11/07/2002,Nu,4660416
7,20120067,Ta Duong Anh Minh,21/12/2002,Nam,2499353
8,20120068,Ngo Quynh My,27/09/2002,Nam,6928825
9,20120069,Nguyen Mai Nhat My,19/11/2002,Nu,4935881
10,20120070,Tran Thi Truc My,28/09/2002,Nam,4886718
11,20120071,Dang Hoang Nam,24/07/2002,Nam,9063093
12,20120072,Ly Kim Ngan,07/11/2002,Nu,5148855
13,20120073,Nguyen Huynh Kim Ngan,01/08/2002,Nam,7525081
14,20120074,Tran Vu Kim Ngan,28/02/2002,Nam,3364640
15,20120075,Luong Ngoc Nghi,23/06/2002,Nu,9165601
16,20120076,Nguyen Phuong Nghi,07/05/2002,Nam,7034521
17,20120077,Tran Phuong Nghi,04/01/2002,Nam,6376942
18,20120078,Truong Tu Nghi,20/12/2002,Nu,8107546
19,20120079,Tran Le Thanh Ngoc,16/02/2002,Nam,9538736
20,20120080,Do Ngoc Phuong Nhi,12/03/2002,Nam,4704195
21,20120081,Nguyen Ngoc Nhu,24/02/2002,Nu,9875786
22,20120082,Tran Quynh Nhu,04/02/2002,Nam,9860002
23,20120083,Van Cam Nhung,12/10/2002,Nam,1216374
24,20120084,Ha Hoang Oanh,20/11/2002,Nu,1315471
25,20120085,Bui Tan Phat,18/01/2002,Nam,7419309
26,20120086,Nguyen Tan Phat,07/05/2002,Nam,6192477
27,20120087,Quach Hong Phat,14/10/2002,Nu,2978609
28,20120088,Huynh Yen Phi,12/05/2002,Nam,7099102
29,20120089,Nguyen Dinh Phi,02/01/2002,Nam,6292278
30,20120090,Lam Dinh Gia Phu,24/01/2002,Nu,2141377
