No,ID,Name,Birth,Sex,Idsocial
1,17120031,Bach Thanh Chien,3/3/1999,Nam,4262939
2,17120032,Hoang Khuy,20/2/1999,Nu,6413589
3,17120033,Huynh Hoang,18/7/1999,Nam ,9116416
4,17120034,Hoang Thu tu,12/5/1999,Nu,4554334
5,17120035,Tu Huu Tinh,2/8/1999,Nam,3777091
6,17120036,Tinh Thin,5/5/1999,Nu,7010233
7,17120037,Hoang Ha,10/1/1999,Nam,8968541
8,17120038,Buong Tha ,1/2/1999,Nu,5671417
9,17120039,Tha Thu,14/5/1999,Nam,2972123
10,17120040,Gu Chao,3/5/1999,Nu,2830799
11,17120041,Giang Ha,29/12/1999,Nam ,7683944
12,17120042,Son Dia,2/1/1999,Nu,6210361
13,17120043,Dia Chan,15/2/1999,Nam,7481026
14,17120044,Khinh Than,14/10/1999,Nu,2787334
15,17120045,Khai Hoang,27/1/1999,Nam,7243359
16,17120046,Chung Ta,5/5/1999,Nu,4407265
17,17120047,Co Phai ,5/6/1999,Nam,1780947
18,17120048,La Nhung,5/12/1999,Nu,5284243
19,17120049,Con Nguoi,19/8/1999,Nam ,2694950
20,17120050,Ly Tri,25/12/1999,Nu,3861149
21,17120051,Quyet Moi ,6/2/1999,Nam,9975960
22,17120052,Van Vuong,10/11/1999,Nu,1724856
23,17120053,Suy Tnh,28/11/1999,Nam,2134648
24,17120054,Can Than,5/5/1999,Nu,4698440
25,17120055,Thoi Gian,5/4/1999,Nam,9026065
26,17120056,Dai Truong,1/12/1999,Nu,9909350
27,17120057,Hoc Gia,15/8/1999,Nam ,6998057
28,17120058,Gieo Rat,6/10/1999,Nu,2543023
29,17120059,Quan Diem,26/5/1999,Nam,7309834
30,17120060,Thong Nhat,26/3/1999,Nu,5751063
