No,ID,Name,Birth,Sex,IDSocial
1,20150031,Nguyen Thi Thuy Duong,29/11/2002,Nam,4409634
2,20150032,Phan Thi Ngoc Duyen,20/03/2002,Nam,8251799
3,20150033,Bui Ngoc Cam Giang,10/08/2002,Nu,6313984
4,20150034,Nguyen Huu Tuan Hiep,30/09/2002,Nam,8290972
5,20150035,Tran Thi Hoai My,29/03/2002,Nam,1913528
6,20150036,Dang Gia Huong,13/10/2002,Nu,5462502
7,20150037,Le Thai Phuong Khanh,03/08/2002,Nam,9810384
8,20150038,Phan Dang Khoi,13/12/2002,Nam,6252913
9,20150039,Nguyen Trong Khuong,03/10/2002,Nu,3516018
10,20150040,Do Thi Phuong Linh,21/04/2002,Nam,4750001
11,20150041,Le Hoang Minh,19/07/2002,Nam,7314371
12,20150042,Duong My Mui,05/02/2002,Nu,8229894
13,20150043,Ho Thi My My,21/11/2002,Nam,9788567
14,20150044,Nguyen Thi Thien Nga,22/02/2002,Nam,7673306
15,20150045,Lai Truc Phuong,11/01/2002,Nu,1955086
16,20150046,Le Nguyen Cuc Phuong,07/12/2002,Nam,3781196
17,20150047,Nguyen Thien Quang,17/12/2002,Nam,6666611
18,20150048,Tran Tu Quyen,09/05/2002,Nu,6173242
19,20150049,Nguyen Nhu Quynh,23/03/2002,Nam,5452463
20,20150050,Lam Thi Thu Thao,30/05/2002,Nam,8055699
21,20150051,Ho Ngoc Thao Tien,06/11/2002,Nu,6773088
22,20150052,Nguyen Huynh Thuy Tien,16/06/2002,Nam,2740475
23,20150053,Pham Thanh Toan,06/07/2002,Nam,2413356
24,20150054,Vo Hoai Nhu Truc,16/07/2002,Nu,2243065
25,20150055,Le Ngoc Minh Tuyen,09/04/2002,Nam,7670792
26,20150056,Truong Nhat Uyen,24/08/2002,Nam,7078102
27,20150057,Ngo Minh Chau,17/02/2002,Nu,7805730
28,20150058,Duong Tan Dat,23/01/2002,Nam,1345252
29,20150059,Tran Thi My Dieu,22/12/2002,Nam,5379104
30,20150060,Do Huy Du,21/08/2002,Nu,3877441
