STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,17110001,Tam Hoan,17HOH1,8.5,8.9,3.8,8.27
2,17110002,Hoang Kieu Huy,17HOH1,8.5,9.4,4.8,8.67
3,17110003,Cao Thanh Huy,17HOH1,7.1,8.4,3.3,7.5
4,17110004,Nguyen Linh,17HOH1,8.8,1.4,7.7,4.25
5,17110005,Huynh Thuy Mi,17HOH1,4.9,6.9,3.8,5.99
6,17110006,Phan  My,17HOH1,4.4,9.7,6.3,7.77
7,17110007, Tu Nhi,17HOH1,9.1,3.9,3.3,5.4
8,17110008,Th?ch Gia Quyen,17HOH1,4.2,4.2,9.2,4.7
9,17110009, Han Ry,17HOH1,5.6,5.5,5.3,5.51
10,17110010,Nguy?n Le Anh Th?,17HOH1,5.1,6.1,5,5.69
11,17110011,Thuy Tram,17HOH1,4.9,1.3,1.6,2.41
12,17110012,Trinh Quoc Cuong,17HOH1,7.4,2.6,3.6,4.14
13,17110013, Cao Anh Tu,17HOH1,4.8,8.7,7.7,7.43
14,17110014,Phuong Uyen,17HOH1,7.8,1.3,3.3,3.45
15,17110015,Linh An,17HOH1,5.9,6.7,3.9,6.18
16,17110016,Thuy Dung,17HOH1,8.2,4.7,4.9,5.77
17,17110017,Tung Bach,17HOH1,10,4.6,2.3,5.99
18,17110018,Le Minh Thu,17HOH1,1.3,6.4,2.7,4.5
19,17110019,Nguye Thieu ,17HOH1,1.9,8.8,8.2,6.67
20,17110020,Le Minh Hung,17HOH1,3.2,6.2,3.2,5
21,17110021,Le Trong Hung,17HOH1,7.2,3.8,4,4.84
22,17110022,Tuong Vy,17HOH1,9.1,6.3,8,7.31
23,17110023,Nguyen Linh,17HOH1,1.3,4,4.4,3.23
24,17110024,Phung Minh Kha,17HOH1,4.1,6,3.3,5.16
25,17110025, Hoang Long,17HOH1,3.1,3.9,5.1,3.78
26,17110026, Hoai Khanh Ly,17HOH1,9.3,6,1.9,6.58
27,17110027,Hoang My,17HOH1,3.5,5.4,9.6,5.25
28,17110028,Ky Nam,17HOH1,2.9,6.6,3.5,5.18
29,17110029,Vo Thuy ,17HOH1,4.5,1.1,2.5,2.26
30,17110030,Thuy Nhien,17HOH1,3.9,7.1,3.6,5.79
