18120033,ABC2,ABC4,HHC
18120034,ABC2,ABC4,HHC
18120035,ABC2,ABC4,HHC
18120036,ABC2,ABC4,HHC
18120037,ABC2,ABC4,HHC
18120038,ABC2,ABC4,HHC
18120039,ABC2,ABC4,HHC
18120040,ABC2,ABC4,HHC
18120041,ABC2,ABC4,HHC
18120042,ABC2,ABC4,HHC
18120043,ABC2,ABC4,HHC
18120044,ABC2,ABC4,HHC
18120045,ABC2,ABC4,HHC
18120046,ABC2,ABC4,HHC
18120047,ABC2,ABC4,HHC
18120048,ABC2,ABC4,HHC
18120049,ABC2,ABC4,HHC
18120050,ABC2,ABC4,HHC
18120051,ABC2,ABC4,HHC
18120052,ABC2,ABC4,HHC
18120053,ABC2,ABC4,HHC
18120054,ABC2,ABC4,HHC
18120055,ABC2,ABC4,HHC
18120056,ABC2,ABC4,HHC
18120057,ABC2,ABC4,HHC
18120058,ABC2,ABC4,HHC
18120059,ABC2,ABC4,HHC
18120060,ABC2,ABC4,HHC
18120061,ABC2,ABC4,HHC
18120062,ABC2,ABC4,HHC
