ID,NAME,DATE OF BIRTH,SEX,SOCIAL ID
19150001,Pham Huy Truong Duc,16/05/2000,Nam,9171891
19150002,Vo Ho Thanh Duy,20/11/2000,Nam,2307147
19150003,Le Thi Thuy Giang,29/04/2000,Nu,3561181
19150004,Huynh Gia Han,05/07/2000,Nam,1237672
19150005,Nguyen Thi Ngoc Han,08/10/2000,Nam,1912271
19150006,Ngo Quoc Hieu,21/08/2000,Nu,9568514
19150007,Tran Minh Hoang,17/12/2000,Nam,5673076
19150008,Nguyen Thi My Hong,24/01/2000,Nam,2818979
19150009,Truong Nguyen Ngoc Hue,29/08/2000,Nu,4581835
19150010,Van Ngoc Khai,30/04/2000,Nam,4514975
19150011,Vo Phi Long,19/09/2000,Nam,9413243
19150012,Nguyen Viet Luan,15/04/2000,Nu,7760233
19150013,Khuu To Nga,11/12/2000,Nam,3404299
19150014,Nguyen Luu Bich Ngan,14/09/2000,Nam,8019733
19150015,Truong Thanh Ngan,05/11/2000,Nu,7178602
19150016,Vo Thanh Ngan,21/08/2000,Nam,3367349
19150017,Vo Thi Hong Nguyen,24/08/2000,Nam,7644918
19150018,Nguyen Quynh Nhu,30/11/2000,Nu,1004162
19150019,Phan Thi Hoang Oanh,07/05/2000,Nam,3375481
19150020,Bui Lieu Mai Phuong,16/04/2000,Nam,6643584
19150021,Pham Le Anh Quan,27/01/2000,Nu,7487098
19150022,Nguyen Ngoc Nhu Quynh,16/11/2000,Nam,2070463
19150023,Dinh Van Thanh,24/04/2000,Nam,3982751
19150024,Le Hoang Nhu Thao,28/05/2000,Nu,1451386
19150025,Nguyen Thi Phuong Thi,26/08/2000,Nam,8112057
19150026,Mai Huynh Chi Thong,25/10/2000,Nam,9445872
19150027,Dang Pham Anh Thu,06/10/2000,Nu,3698812
19150028,Ngo Thien Thu,21/03/2000,Nam,1896238
19150029,Nguyen Chi Hoa Thuan,05/04/2000,Nam,7036457
19150030,Cao Hoang Khanh Tran,03/01/2000,Nu,3928925
19110001,Nguyen Thi Thu Trang,10/11/2000,Nam,4863031
19110002,Le Tran Thanh Truc,03/07/2000,Nam,1132433
19110003,Bui Trinh Trung,24/09/2000,Nu,6435089
19110004,Tran Anh Tuan,25/02/2000,Nam,2176236
19110005,Ho Ngoc Tuyen,22/07/2000,Nam,5046765
19110006,Nguyen Phuong Uyen,29/11/2000,Nu,3882790
19110007,Nguyen Vo Thao Vy,14/06/2000,Nam,3898013
19110008,Phan Tran Nhat Vy,10/04/2000,Nam,1030755
19110009,Nguyen Ngoc Xuyen,24/02/2000,Nu,3505346
19110010,Luu Huu Phuoc,19/05/2000,Nam,1982911
19110011,Le Quoc An,17/02/2000,Nam,5512644
19110012,Nguyen Tran Thien An,11/03/2000,Nu,8611497
19110013,Tran Vu Hong An,21/11/2000,Nam,2698915
19110014,Bui Thi Ngoc Anh,11/10/2000,Nam,6559168
19110015,Huynh Ngoc Que Anh,01/03/2000,Nu,3402810
19110016,Nguyen Phuc Tai Anh,26/03/2000,Nam,3101584
19110017,Nguyen Quynh Anh,10/04/2000,Nam,1493118
19110018,Pham Thi Duy Anh,02/01/2000,Nu,6894182
19110019,Pham Thi Phuong Anh,20/12/2000,Nam,2887511
19110020,Pham Thi Trang Anh,06/05/2000,Nam,5206453
19110021,Tran Do Van Anh,12/05/2000,Nu,1441073
19110022,Tran Thi Van Anh,03/11/2000,Nam,2442154
19110023,Vo Tung Anh,15/01/2000,Nam,4155746
19110024,Vu Thi Tu Anh,15/07/2000,Nu,9218462
19110025,Do Thi Ngoc Anh,07/09/2000,Nam,3491923
19110026,Nguyen Thai Bao,29/12/2000,Nam,2652417
19110027,Tran Duc Hoang Bao,09/08/2000,Nu,3313348
19110028,Le Thi Thanh Binh,22/02/2000,Nam,3793637
19110029,Nguyen Ngoc Thanh Binh,05/03/2000,Nam,9740891
19110030,Pham Nhu Binh,24/04/2000,Nu,7697471
20120001,Nguyen Huu Khai Duy,24/12/2002,Nam,9733604
20120002,Dam Huy Giau,23/08/2002,Nam,9734643
20120003,Tang Nhat Hao,06/07/2002,Nu,3439917
20120004,Nguyen Dieu Linh,14/10/2002,Nam,8147434
20120005,Ngo Hong Phi Loan,30/11/2002,Nam,4697269
20120006,Nguyen Ho Nam,23/08/2002,Nu,1089851
20120007,Phan Nguyen Hoai Nam,01/07/2002,Nam,7583033
20120008,Bo Khanh Ngoc,26/08/2002,Nam,2610091
20120009,Nguyen Ba Thao Nguyen,08/05/2002,Nu,2663100
20120010,Nguyen Nhat Yen Phuong,12/03/2002,Nam,8728294
20120011,Tran Nguyen Tan,22/04/2002,Nam,7720238
20120012,Nguyen Hoang Phuc Tien,27/11/2002,Nu,2628907
20120013,Nguyen Le Phuong Trang,03/06/2002,Nam,5344463
20120014,Pham Thi Kim Thanh,04/08/2002,Nam,6274703
20120015,Pham Thi Bich Van,02/02/2002,Nu,4251249
20120016,Ly Xuan Anh,03/08/2002,Nam,6577639
20120017,Ngo Thi Kim Anh,05/01/2002,Nam,9788767
20120018,Ngo Thi Phuong Anh,24/09/2002,Nu,3352222
20120019,Nguyen Minh Tram Anh,18/05/2002,Nam,8591882
20120020,Pham My Anh,20/07/2002,Nam,6021680
20120021,Tran Thi Minh Anh,04/12/2002,Nu,6570367
20120022,Tran Ngoc Bac,24/04/2002,Nam,8647419
20120023,Vu Van Cang,06/12/2002,Nam,5607566
20120024,Doan Le Bao Chau,01/07/2002,Nu,6058715
20120025,Ha Vinh Kim Chau,06/01/2002,Nam,1579413
20120026,Doan Ngoc Uyen Chi,08/08/2002,Nam,2273272
20120027,Nguyen Ngoc Phuong Chi,06/12/2002,Nu,5617746
20120028,Phan Huu Chuc,02/09/2002,Nam,4325448
20120029,Nguyen Duy Anh Chuong,18/07/2002,Nam,2378495
