No,ID,Name,Birth,Sex,Idsocial
1,18150020,Nguyen Tien Dat,8/5/2000,Nam,5436315
2,18150022,Tran Nguyen Thanh Dat,21/5/2000,Nam,6583531
3,18150024,Tran Nguyen Minh Dong,5/11/2000,Nu,7892886
4,18150026,Ho Thi Kim Dung,23/9/2000,Nam,4200589
5,18150028,Le Thi Thuy Duong,4/1/2000,Nam,1880769
6,18150030,Mai Quoc Duy,14/10/2000,Nu,7128167
7,18150032,Nguyen Thi Hong Gam,23/7/2000,Nam,7609730
8,18150034,Nguyen Quynh Giang,23/5/2000,Nam,4662208
9,18150036,Nguyen Thi Thu Ha,6/12/2000,Nu,8649955
10,18150038,Tran My Han,12/3/2000,Nam,4240891
11,18150040,Le Ngoc Thanh Hien,30/8/2000,Nam,6325659
12,18150042,Le Viet Hien,1/6/2000,Nu,2897949
13,18150044,Vo Minh Hieu,28/9/2000,Nam,5000730
14,18150046,Phan My Hue,28/7/2000,Nam,1665888
15,18150048,Nguyen Thi Kim Huong,26/12/2000,Nu,3058472
16,18150050,Nguyen Le Hoang Huy,11/11/2000,Nam,6868950
17,18150052,Tang Giac Huy,23/8/2000,Nam,5794959
18,18150054,Dao Thi Huyen,25/10/2000,Nu,2694830
19,18150056,Huynh Tan Thanh Kha,5/10/2000,Nam,3310983
20,18150058,Tran Van Khai,4/9/2000,Nam,3561838
21,18150060,Truong Vi Khang,30/10/2000,Nu,3796985
22,18150062,Dang Dang Khoa,17/4/2000,Nam,5539753
23,18150064,Nguyen Tran Nhac Khoa,18/3/2000,Nam,3300942
24,18150066,Ho Le Minh Khue,24/12/2000,Nu,6412820
25,18150068,Pham Thi Thuy Kieu,1/1/2000,Nam,4706005
26,18150070,Pham Tran Thien Kim,6/2/2000,Nam,3878874
27,18150072,Le Vinh Lam,17/4/2000,Nu,6731505
28,18150074,Nguy Ngoc Hoang Lan,15/8/2000,Nam,1749892
29,18150076,Dang Thi Yen Linh,29/5/2000,Nam,6837692
30,18150078,Nguyen Doan Nhu Linh,30/6/2000,Nu,4504613
