No,ID,Name,Birth,Sex,Idsocial
1,18120033,A Thai,17/10/2000,Nam,7119511
2,18120034,Cao Hung,13/5/2000,Nam,6672022
3,18120035,Cao Thai,6/2/2000,Nam,1911510
4,18120036,Cortana,3/12/2000,Nu,7429264
5,18120037,Co Vo ,14/3/2000,Nam,9528939
6,18120038,Truong A,14/7/2000,Nam,3764660
7,18120039,Eo Thi Xa,15/11/2000,Nu,5831398
8,18120040,Hua Vo Thien,21/9/2000,Nam,4926784
9,18120041,Han Lap,15/3/2000,Nam,5544095
10,18120042,Huy Hoang,1/10/2000,Nam,3067031
11,18120043,Ghe Sa,13/3/2000,Nam,8755075
12,18120044,Khuong An An,28/7/2000,Nu,8662249
13,18120045,Khuong Vong,4/4/2000,Nam,3699330
14,18120046,Lam Bao Ngoc,6/3/2000,Nu,8803894
15,18120047,Lam Van Thien,4/6/2000,Nam,9582497
16,18120048,Long Tuoc,5/7/2000,Nam,5851633
17,18120049,Luc Tram,6/10/2000,Nam,4458620
18,18120050,Mieu A Cau,29/5/2000,Nam,9631535
19,18120051,Nga Tam,4/6/2000,Nam,9109761
20,18120052,Ngo Th?a An,26/5/2000,Nam,8269666
21,18120053,Nguyen Hoa,23/1/2000,Nam,1698300
22,18120054,Nguyen Thi A,7/4/2000,Nam,7425584
23,18120055,Thien Sinh,16/6/2000,Nam,5664489
24,18120056,Tran Binh An,14/3/2000,Nam,8397800
25,18120057,Tran Vong Tinh,30/12/2000,Nu,6530776
26,18120058,Truong Tieu Pham,21/12/2000,Nam,4748439
27,18120059,Vuong Chi Hao,5/5/2000,Nam,8745937
28,18120060,Vuong Thong Thien,25/12/2000,Nu,9371947
29,18120061,Vuong Vong Thien,15/6/2000,Nam,1083112
30,18120062,Vuong Trieu,5/9/2000,Nam,5755513
