No,ID,Name,Birth,Sex,Idsocial
1,17150003,Bui  Tai,3/11/1999,Nam,8012044
2,17150004,Co To Lam ,21/11/1999,Nu,2140762
3,17150005,Khuyet Thinh,14/11/1999,Nu,9828928
4,17150006,Thong Tai,25/12/1999,Nu,6224445
5,17150007,Van Nam Giang Thi,11/11/1999,Nam,4428944
6,17150008,Hao A Sinh,16/12/1999,Nam,4620615
7,17150009,Huynh Ngoc Tram,25/11/1999,Nu,6972489
8,17150010,Le Minh ,9/11/1999,Nu,6000524
9,17150011,Le  Hoang Quan,10/12/1999,Nu,3624236
10,17150012,Le Uyen Nhi,3/11/1999,Nam,4566106
11,17150013,Mai Thanh Binh,28/11/1999,Nam,9564314
12,17150014,Ghe Gom,9/12/1999,Nu,7895501
13,17150015,Ngun Minh Duy,15/12/1999,Nu,7152274
14,17150016,Nguyen Nung,6/12/1999,Nu,7823356
15,17150017,Nguyen Tai,23/12/1999,Nam,7566347
16,17150018, Kim Nhung,1/11/1999,Nam,6792749
17,17150019, Thuy Trang,22/12/1999,Nu,7374241
18,17150020,Tien Minh,29/11/1999,Nu,6722564
19,17150021,Nguyen Tai,13/12/1999,Nu,6469631
20,17150022,Nguyen Tung,10/11/1999,Nam,1323038
21,17150023,Trinh Ngoc Thanh,8/11/1999,Nam,8819681
22,17150024,Thien Tan,1/12/1999,Nu,3082121
23,17150025,Truong Khoa,8/12/1999,Nu,9428065
24,17150026,Lop Thanh,2/12/1999,Nu,2855334
25,17150027,Duc Dao,8/11/1999,Nam,8586141
26,17150028, Quang Huy,3/12/1999,Nam,6089307
27,17150029, Thien Hao,20/12/1999,Nu,8373841
28,17150030,Tuan Kiet,5/12/1999,Nu,2715971
29,17150031,Truong  Trong Quoc,27/12/1999,Nu,9770424
30,17150032,Vo Hoa,14/12/1999,Nam,6894932
