No,ID,Name,Birth,Sex,Idsocial
1,19120057,Dinh Hoai Phuc,25/10/2000,Nam,4945850
2,19120059,Nguyen Hanh Phuc,26/11/2000,Nam,3944792
3,19120061,Nguyen Kim Phuc,10/12/2000,Nu,2355896
4,19120063,Nguyen Vuong Hoang Phuc,26/3/2000,Nam,6636008
5,19120065,Vo Nguyen Huu Phuoc,24/11/2000,Nam,2891017
6,19120067,Cao Xuan Hong Phuong,3/8/2000,Nu,4765280
7,19120069,Dang Thi Hoang Phuong,8/12/2000,Nam,4770602
8,19120071,Nguyen Hoang Phuong,19/5/2000,Nam,6354966
9,19120073,Nguyen Nam Phuong,29/5/2000,Nu,1479640
10,19120075,Tran Thi Thu Phuong,4/10/2000,Nam,7280101
11,19120077,Bui Dinh Minh Quan,9/10/2000,Nam,7043774
12,19120079,Nguyen Hoang Quan,3/2/2000,Nu,7601726
13,19120081,Nguyen Minh Quan,18/3/2000,Nam,2013507
14,19120083,Tran Quan,12/5/2000,Nam,1740123
15,19120085,Vo Minh Quan,1/7/2000,Nu,9742689
16,19120087,Huynh Nhat Quang,20/12/2000,Nam,9365492
17,19120089,Vo Phan Thi To Quyen,13/2/2000,Nam,7602135
18,19120091,Ho Thi Nhu Quynh,19/8/2000,Nu,3959861
19,19120093,Bui Huynh Phuoc Sang,2/11/2000,Nam,5450677
20,19120095,Tran Ngoc Son,28/4/2000,Nam,3762283
21,19120097,Tran Thanh Tam,17/10/2000,Nu,6254554
22,19120099,Nguyen Le Thanh Thang,28/10/2000,Nam,6836539
23,19120101,Nguyen Tuan Thanh,17/11/2000,Nam,8711009
24,19120103,Nguyen Ngoc Thanh Thao,4/6/2000,Nu,8746546
25,19120105,Dang Ngoc Thi,17/9/2000,Nam,6758165
26,19120107,Ngo Ngoc Linh Thi,14/6/2000,Nam,3521718
27,19120109,Nguyen Thi Cam Thi,6/8/2000,Nu,8094019
28,19120111,Tran Duc Thien,2/11/2000,Nam,8726478
29,19120113,Tran Minh Thien,5/7/2000,Nam,8868992
30,19120115,Lai Thi Anh Thu,6/1/2000,Nu,3141619
