No,ID,Name,Birth,Sex,Idsocial
1,17110001,Tam Hoan,3/11/1999,Nam ,3502335
2,17110002,Hoang Kieu Huy,21/11/1999,Nam ,1791793
3,17110003,Cao Thanh Huy,14/11/1999,Nu,3779848
4,17110004,Nguyen Linh,25/12/1999,Nam ,9412817
5,17110005,Huynh Thuy Mi,11/11/1999,Nu,6260856
6,17110006,Phan  My,16/12/1999,Nam ,8429424
7,17110007, Tu Nhi,25/11/1999,Nam ,1577186
8,17110008,Th?ch Gia Quyen,9/11/1999,Nu,7853018
9,17110009, Han Ry,10/12/1999,Nam ,4279587
10,17110010,Nguy?n Le Anh Th?,3/11/1999,Nu,7403238
11,17110011,Thuy Tram,28/11/1999,Nam ,9606896
12,17110012,Trinh Quoc Cuong,9/12/1999,Nam ,6071461
13,17110013, Cao Anh Tu,15/12/1999,Nu,8918506
14,17110014,Phuong Uyen,6/12/1999,Nam ,6991680
15,17110015,Linh An,23/12/1999,Nu,3214474
16,17110016,Thuy Dung,1/11/1999,Nam ,6359534
17,17110017,Tung Bach,22/12/1999,Nam ,3650032
18,17110018,Le Minh Thu,29/11/1999,Nu,9112890
19,17110019,Nguye Thieu ,13/12/1999,Nam ,6417863
20,17110020,Le Minh Hung,10/11/1999,Nu,8978329
21,17110021,Le Trong Hung,8/11/1999,Nam ,2674350
22,17110022,Tuong Vy,1/12/1999,Nam ,4161326
23,17110023,Nguyen Linh,8/12/1999,Nu,1022802
24,17110024,Phung Minh Kha,2/12/1999,Nam ,1655020
25,17110025, Hoang Long,8/11/1999,Nu,8227944
26,17110026, Hoai Khanh Ly,3/12/1999,Nam ,9792561
27,17110027,Hoang My,20/12/1999,Nam ,9612049
28,17110028,Ky Nam,5/12/1999,Nu,1203875
29,17110029,Vo Thuy ,27/12/1999,Nam ,4404699
30,17110030,Thuy Nhien,14/12/1999,Nu,5298355
